sexo,instrucao,idade,log_saldo_poup_avg,log_tempo_renda,log_renda_liquida,log_tempo_cp
1,medio,22,11.052360669448673,6.766191714660351,7.434847875211999,5.293304824724492
1,medio,30,10.29428410143704,6.095824562432225,8.110427237575024,4.897839799950911
1,medio,47,4.583486791156933,8.196436811235028,7.982074875081202,4.30406509320417
1,superior_pos,41,5.705098275277424,4.204692619390966,7.71244383427499,1.791759469228055
0,medio,30,6.956340660280226,8.335191583433202,6.570882962339584,5.049856007249537
1,medio,26,2.8889819036071103,7.099201743553092,8.149601735736155,4.0943445622221
1,medio,22,5.326005488118207,5.575949103146316,7.646831391430482,3.295836866004329
0,medio,21,6.300317795260349,3.610917912644224,6.956545443151569,4.820281565605037
1,medio,36,5.871751525225755,6.866933284461882,7.419380582918692,4.174387269895637
0,medio,31,8.749081594810706,1.3862943611198906,8.160518247477505,5.075173815233827
1,medio,23,6.845198792315876,6.668228248417403,7.352441100243583,2.079441541679836
0,medio,51,-0.4079682383262829,7.357556200910353,7.738923757439457,2.079441541679836
1,medio,34,9.933753628872216,4.382026634673881,7.7336835707759,5.170483995038151
1,medio,21,5.474851374410334,6.07993319509559,7.756623334538858,2.70805020110221
1,medio,47,6.793931271023121,7.947325027016463,7.004881989712859,4.23410650459726
1,medio,27,7.270789460043105,7.780303087908373,7.450660796211539,4.584967478670572
1,medio,23,3.8079949350040985,5.87493073085203,7.260522598089852,2.772588722239781
1,superior_pos,34,1.2178757094949273,8.913550280493675,8.543445562560303,4.394449154672439
1,medio,51,1.5051878910603012,8.154500175151941,8.191463051326927,5.583496308781699
0,medio,26,3.573889389480267,5.652489180268651,6.9985096422506015,5.384495062789089
0,ate_fundamental,52,7.133571256183145,8.214194414852564,7.824046010856292,5.517452896464707
0,medio,26,8.4810778117203,5.69035945432406,7.43955930913332,4.143134726391533
1,medio,48,-2.2072749131897207,3.737669618283368,6.951772164398911,5.389071729816501
0,medio,46,10.894896239216918,6.893656354602635,7.8399193600125825,5.318119993844216
0,medio,23,1.673351238177753,7.353722330399631,7.475339236566737,0.0
1,medio,24,7.4603464519805955,6.590301048196686,7.201170883281678,4.330733340286331
0,superior_pos,26,9.564820559197432,5.993961427306569,7.27931883541462,4.74493212836325
1,superior_pos,43,6.270667019152168,6.77078942390898,7.824046010856292,4.248495242049359
0,ate_fundamental,35,-1.6607312068216509,5.993961427306569,6.922643891475888,3.6375861597263857
1,medio,30,7.132681240858438,4.852030263919617,7.493873886783559,4.553876891600541
1,medio,58,8.33994753043892,7.334981878871814,8.745921121024347,5.081404364984463
1,medio,18,6.828733716429079,4.564348191467836,7.0317412587631285,3.1354942159291497
1,superior_pos,37,4.31928649547769,6.182084906716632,9.188605879830176,3.970291913552122
0,superior_pos,28,1.5933085305042167,6.741700694652055,9.16282938930513,5.393627546352362
1,medio,37,9.614380131424069,6.818924065275521,7.545389749611823,4.962844630259907
1,medio,24,8.213969640066473,7.475905969367397,7.683863980256429,5.214935757608986
0,medio,24,5.384334499440769,5.442417710521793,7.802618063442671,4.543294782270004
1,medio,36,0.7816158285475535,6.75110146893676,7.321849713788356,3.9889840465642745
1,superior_pos,25,3.0017143452315387,6.448889394146858,7.480992162869525,4.204692619390966
1,superior_pos,51,9.094680892477548,8.527539483470381,7.180069874302796,3.713572066704308
1,medio,22,5.9631936651409525,5.998936561946683,7.064759027791802,4.430816798843313
1,ate_fundamental,34,-1.0498221244986778,6.476972362889683,7.532088143541722,3.828641396489095
1,medio,41,4.369827527216884,7.9157131993821155,6.940222469119639,4.248495242049359
1,superior_pos,40,4.005695481290781,6.492239835020471,7.537962659768208,3.8918202981106265
0,superior_pos,31,4.598799938980248,6.380122536899765,7.8636512654486515,4.584967478670572
1,superior_pos,46,7.353853563785593,7.878534196140362,8.470520783217808,4.007333185232471
1,medio,38,2.2823823856765264,7.515889085215125,7.466799475018602,5.117993812416755
1,medio,52,9.042345890733271,7.605392364814935,8.04237800517328,5.099866427824199
1,medio,32,6.200113558271735,7.65491704784832,7.198931240688173,4.248495242049359
0,medio,37,1.33500106673234,6.784457062637643,8.82453082152646,5.62040086571715
1,medio,25,6.205991078315077,4.804021044733257,7.258412150595307,3.332204510175204
1,medio,34,-0.1863295781914934,6.5998704992128365,7.361375428977347,4.02535169073515
0,medio,23,5.3248619217701485,7.118826249062078,7.500529485395295,4.04305126783455
1,medio,18,7.832910603994674,5.262690188904886,6.049733455231958,5.262690188904886
1,medio,28,6.618071203859683,7.844240718141811,8.026170194946426,4.934473933130692
1,superior_pos,22,11.102938498653725,4.875197323201151,7.86480400332846,4.343805421853684
0,medio,48,6.448691589774736,7.771067086065406,8.5016733797582,4.969813299576001
1,superior_pos,32,8.246575359777571,3.80666248977032,7.343426229147367,3.80666248977032
0,medio,23,4.599051504979914,7.554334823725748,7.431299675155903,3.295836866004329
1,medio,26,7.316960052483588,7.325148957955575,7.824046010856292,2.995732273553991
0,medio,22,4.599705280557024,4.795790545596741,7.532623618788788,4.30406509320417
0,medio,28,5.153464989868557,7.671826797878781,7.114769448366463,4.248495242049359
1,medio,48,4.208937329193505,6.70073110954781,7.692113339595466,5.198497031265826
0,medio,32,-0.941608539858445,7.367077059881012,7.937374696163295,4.477336814478207
0,ate_fundamental,53,7.071501205411204,8.613048677059759,6.704414354964107,4.605170185988092
1,medio,23,4.394942859940428,5.062595033026967,7.026426808699636,2.70805020110221
1,medio,43,6.29275362296598,6.576469569048224,6.70196036600254,2.833213344056216
1,medio,28,0.6729444732424258,7.368970402194793,6.9363427358340495,4.454347296253507
